frequency,word,skip1,skip2
349120,which,dtq,3170
247596,their,dps,3145
221172,would,vm0,3080
201616,there,ex0,3128
148165,could,vm0,3039
116367,other,aj0,3098
115946,about,prp,3049
112278,these,dt0,3062
108775,first,ord,3090
82878,years,nn2,3002
80538,being,vbg,3029
77238,those,dt0,3039
68574,where,avq-cjs,2985
63992,still,av0,2959
61900,three,crd,3006
58975,after,prp,2955
55504,world,nn1,2802
54099,there,av0,2807
53197,under,prp,2963
53069,might,vm0,2786
48893,while,cjs,2892
48635,never,av0,2688
47551,again,av0,2783
44443,after,cjs-prp,2884
41844,going,vvg,2621
41099,local,aj0,2632
40819,small,aj0,2821
39156,great,aj0,2744
38464,group,nn0,2684
37483,women,nn2,2083
37294,party,nn0,2152
35821,often,av0,2619
35809,place,nn1,2822
35379,every,at0,2846
34682,house,nn1,2362
34414,about,av0,2697
33982,given,vvn,2886
32758,taken,vvn,2835
32567,large,aj0,2747
31698,night,nn1,2112
31022,state,nn1,2385
30749,money,nn1,2497
30461,water,nn1,2128
30281,quite,av0,2562
29643,power,nn1,2463
29362,point,nn1,2696
28963,young,aj0,2367
28576,until,cjs,2652
28534,later,av0,2706
26202,think,vvb,2222
24704,voice,nn1,1679
24239,since,cjs,2668
23873,think,vvi,2200
23414,thing,nn1,2271
23320,began,vvd,2314
23237,court,nn1,1662
23034,child,nn1,1868
22788,using,vvg,2550
22776,times,nn2,2731
22595,among,prp,2504
22272,words,nn2,2336
22235,major,aj0,2374
21879,areas,nn2,2162
21766,woman,nn1,1768
21547,known,vvn,2603
20839,staff,nn0,1999
20554,today,av0,2461
20165,found,vvn,2573
19825,third,ord,2590
19470,death,nn1,2069
19392,whose,dtq,2554
19268,seems,vvz,2455
19228,sense,nn1,2322
19075,level,nn1,2360
18828,range,nn1,2270
18611,table,nn1,2013
18579,study,nn1,1854
18191,clear,aj0,2581
18179,where,avq,2344
18063,order,nn1,2422
18053,doing,vdg,2431
17977,black,aj0,1997
17662,hands,nn2,2181
17524,white,aj0,2090
17495,shall,vm0,1871
17484,cases,nn2,2082
17194,trade,nn1,1820
17089,early,aj0,2499
16961,class,nn1,1954
16910,hours,nn2,2301
16858,value,nn1,2237
16711,asked,vvd,1581
15775,terms,nn2,2236
15630,based,vvn,2294
15263,price,nn1,1981
15099,stage,nn1,2341
14896,paper,nn1,2203
14614,shown,vvn,2252
14416,makes,vvz,2471
14315,royal,aj0,1746
14285,david,np0,1600
14241,april,np0,1676
14200,music,nn1,1477
14165,found,vvd,2086
13890,right,aj0,1988
13688,since,cjs-prp,2466
13632,issue,nn1,2023
13613,whole,aj0,2065
13481,month,nn1,2077
13445,basis,nn1,2084
13392,south,np0,1729
13255,weeks,nn2,2224
13145,heart,nn1,2095
12956,field,nn1,2050
12675,story,nn1,1983
12675,short,aj0,2442
12675,legal,aj0,1605
12561,comes,vvz,2390
12496,human,aj0,1747
12484,final,aj0,2370
12441,above,prp,2326
12395,found,vvd-vvn,2297
12186,books,nn2,1920
12084,union,nn0,1353
11871,means,vvz,2282
11780,space,nn1,2110
11543,prime,aj0,1453
11460,seven,crd,2267
11379,model,nn1,1609
11373,peter,np0,1567
11268,right,aj0-nn1,2102
11123,march,np0,1507
11072,north,np0,1686
11010,eight,crd,2187
10986,rates,nn2,1303
10966,parts,nn2,2244
10929,wrong,aj0,2075
10557,floor,nn1,1668
10455,lower,ajc,2028
10432,other,aj0-nn1,2269
10373,ideas,nn2,1850
10371,takes,vvz,2229
10345,leave,vvi,2152
10339,basic,aj0,1888
10323,style,nn1,1804
10223,above,av0,2019
10137,bring,vvi,2383
10121,stood,vvd,1395
10073,event,nn1,2063
9876,aware,aj0,2049
9825,happy,aj0,1905
9732,goods,nn2,1288
9656,sales,nn2,1300
9633,right,av0,1923
9608,blood,nn1,1516
9588,lines,nn2,2134
9551,right,nn1,2051
9525,rules,nn2,1673
9510,force,nn1,1902
9508,james,np0,1465
9472,house,np0,1549
9424,gives,vvz,2150
9379,press,nn0,1670
9351,title,nn1,1443
9337,glass,nn1,1480
9273,means,nn0,2043
9257,wrote,vvd,1640
9209,costs,nn2,1405
8990,miles,nn2,1639
8959,until,cjs-prp,1725
8854,plans,nn2,1854
8838,mouth,nn1,1278
8797,wales,np0,1303
8755,later,ajc,1994
8736,hotel,nn1,1203
8710,heavy,aj0,2050
8669,ready,aj0,2079
8664,asked,vvn,2104
8652,early,aj0-av0,2016
8609,girls,nn2,1248
8563,needs,nn2,1580
8554,total,aj0,1775
8525,peace,nn1,1461
8501,fully,av0,2220
8456,types,nn2,1585
8415,forms,nn2,1581
8401,below,av0,1932
8375,civil,aj0,1378
8286,older,ajc,1725
8284,sound,nn1,1409
8210,allow,vvi,2124
8171,worth,prp,2060
8071,since,prp,1953
8061,about,avp,1994
8052,piece,nn1,1890
8042,alone,aj0-av0,2018
8012,light,nn1,1669
7974,radio,nn1,1383
7969,works,nn0,1464
7871,along,prp,1809
7809,trees,nn2,1357
7687,media,nn0,1205
7633,north,nn1,1439
7565,smith,np0,1224
7547,truth,nn1,1613
7541,close,aj0,2114
7532,heard,vvn,1740
7499,cells,nn2,627
7459,start,nn1,1928
7449,round,avp,1551
7448,needs,vvz,1938
7374,award,nn1-vvb,107
7357,light,aj0-nn1,1731
7351,maybe,av0,1291
7343,extra,aj0,1828
7303,south,nn1,1420
7293,award,nn1,858
7260,firms,nn2,854
7252,board,nn1,1496
7215,image,nn1,1673
7192,start,vvi,1990
7155,knows,vvz,1721
7120,heard,vvd,1207
7098,horse,nn1,1073
6995,built,vvn,1864
6989,plant,nn1,1181
6968,sorry,aj0,1120
6952,share,nn1,1341
6892,visit,nn1,1564
6866,stock,nn1,1502
6830,drawn,vvn,2009
6817,lives,nn2,1719
6813,looks,vvz,1820
6811,views,nn2,1659
6797,river,nn1,1172
6774,scale,nn1,1668
6771,chair,nn1,1199
6747,whole,aj0-nn1,1579
6691,early,av0,1982
6678,units,nn2,1264
6652,cause,nn1,1792
6619,names,nn2,1837
6596,wants,vvz,1657
6593,scene,nn1,1650
6571,shows,vvz,1719
6558,tried,vvd,1423
6551,banks,nn2,1167
6547,stone,nn1,1325
6524,added,vvd,1296
6508,spoke,vvd,1422
6498,fresh,aj0,1730
6456,after,cjs,1818
6412,avoid,vvi,1947
6356,users,nn2,812
6350,items,nn2,1384
6334,carry,vvi,1991
6320,crime,nn1,930
6315,speed,nn1,1568
6292,steps,nn2,1760
6220,offer,vvi,1990
6213,sight,nn1,1667
6195,trial,nn1,1209
6157,speak,vvi,1569
6108,henry,np0,904
6083,whole,nn1,1773
6066,smile,nn1,886
6039,usual,aj0,1823
6003,paris,np0,1142
5962,rural,aj0,955
5958,human,aj0-nn1,1266
5923,funds,nn2,1287
5894,earth,nn1,1392
5882,where,cjs,1663
5867,japan,np0,924
5859,sides,nn2,1657
5819,walls,nn2,1335
5815,ahead,av0,1646
5801,joint,aj0,1403
5792,equal,aj0,1606
5790,games,nn2,1099
5786,asked,vvd-vvn,1598
5661,claim,nn1,1303
5606,twice,av0,1811
5584,round,prp,1405
5581,worse,ajc,1692
5576,learn,vvi,1642
5551,write,vvi,1607
5548,homes,nn2,1213
5541,round,avp-prp,1363
5535,match,nn1,897
5494,below,prp,1702
5402,train,nn1,1139
5361,offer,nn1,1479
5345,track,nn1,1143
5342,works,vvz,1726
5340,stand,vvi,1713
5293,along,avp-prp,1603
5235,upper,aj0,1425
5235,birds,nn2,964
5222,shook,vvd,732
5212,rooms,nn2,1226
5204,shape,nn1,1539
5199,while,nn1,1451
5180,sites,nn2,984
5168,apply,vvi,1497
5165,board,nn0,1104
5130,notes,nn2,1371
5097,phone,nn1,999
5079,reach,vvi,1803
5078,urban,aj0,838
5072,video,nn1,948
5052,facts,nn2,1430
5051,empty,aj0,1370
5047,thank,vvb,1044
5039,leave,vvb,1650
5026,build,vvi,1707
4999,entry,nn1,1415
4930,prove,vvi,1811
4929,birth,nn1,1254
4926,vital,aj0,1631
4926,italy,np0,1069
4879,owner,nn1,1254
4878,route,nn1,1324
4831,irish,aj0,845
4830,quiet,aj0,1414
4826,heads,nn2,1521
4797,ought,vm0,1312
4786,faith,nn1,1206
4739,front,aj0-nn1,1309
4714,major,np0,652
4714,hence,av0,1235
4693,wider,ajc,1491
4689,ended,vvd-vvn,1217
4685,broad,aj0,1518
4678,broke,vvd,1362
4676,front,nn1,1391
4639,moved,vvd-vvn,1496
4606,moved,vvd,1285
4604,begin,vvi,1758
4587,india,np0,916
4569,doubt,nn1,1665
4568,place,nn1-vvb,1705
4555,level,aj0-nn1,1474
4554,green,aj0-nn1,1300
4530,raise,vvi,1627
4529,spent,vvn,1671
4514,phase,nn1,1071
4509,goals,nn2,726
4504,spend,vvi,1602
4499,tests,nn2,1033
4447,jones,np0,940
4431,court,np0,853
4422,least,dt0,1711
4414,harry,np0,619
4412,teeth,nn2,1062
4394,kinds,nn2,1229
4383,doors,nn2,1301
4359,signs,nn2,1518
4359,shops,nn2,1250
4322,under,av0,1577
4318,right,aj0-av0,1168
4315,spain,np0,933
4308,brain,nn1,986
4294,metal,nn1,1139
4291,chief,aj0,1191
4275,lunch,nn1,1044
4269,brief,aj0,1582
4261,inner,aj0,1185
